충전구분,충전소명,주소
급속,마곡수명산파크6단지,서울특별시 강서구 내발산동 수명로2길 63
완속,신월해주 아파트,서울특별시 양천구 신월동 217-8
급속,마곡수명산파크7단지,서울특별시 강서구 내발산동 수명로2가길 22
급속,서울남부출입국 외국인사무소,서울특별시 강서구 마곡서1로 48 
급속,목동트윈빌,서울특별시 양천구 목동 905-22
급속,목동삼성쉐르빌1,서울특별시 양천구 신정동 318-10
급속,마곡수명산파크1단지,서울특별시 강서구 내발산동 742
급속,마곡 이웰메디파크,서울특별시 강서구 마곡중앙4로 74 
급속,강서수도사업소,서울특별시 양천구 목동동로 155 
급속,등마루 공영주차장,서울특별시 양천구 목동중앙북로8다길 지하 4 
급속,한사랑2차삼성 아파트,서울특별시 강서구 공항대로59길 64
급속,방화동성아파트,서울특별시 강서구 방화동 금낭화로23길 8
급속,한국방송광고진흥공사,서울특별시 양천구 목동동로 233 
완속,신정동일하이빌아파트2단지,서울특별시 양천구 신정로11길 20 
급속,경창시장 고객주차장,서울특별시 양천구 월정로 46 
급속,한국공항공사 고객전용주차장,서울특별시 강서구 하늘길 78 
급속,강서경찰서 민원인주차장,서울특별시 강서구 화곡로 308 
급속,양천구청 지하주차장,서울특별시 양천구 목동동로 105 
급속,은천2단지 아파트,서울특별시 관악구 봉천동 인헌12길 46-1
급속,관악동작 견인차량 보관소,서울특별시 관악구 신사로 7
완속,이수힐스테이트,서울특별시 동작구 동작동 동작대로39길 22
완속,서울대입구아이원,서울특별시 관악구 봉천동 청룡길 78
급속,힐스테이트상도프레스티지,서울특별시 동작구 상도동 상도로 346-2
급속,대우신림2차푸르지오,서울특별시 관악구 신림동 난곡로 66
완속,상도대림 아파트,서울특별시 동작구 상도동 상도로60길 20
완속,보라매삼성 아파트,서울특별시 관악구 봉천동 보라매로 62
완속,은천2단지 아파트,서울특별시 관악구 봉천동 인헌12길 46-1
완속,상도파크자이,서울특별시 동작구 상도동 장승배기로 11
급속,관악동작지사,서울특별시 동작구 동작대로 19
완속,흑석한강센트레빌,서울특별시 동작구 흑석동 흑석한강로 2
완속,신림서초 아파트,서울특별시 관악구 신림동 호암로16길 5
완속,대방성원 아파트,서울특별시 동작구 대방동 여의대방로44길 9
급속,관악벽산블루밍,서울특별시 관악구 봉천동 은천로 93
완속,숲속마을신동아파밀리에,서울특별시 동작구 신대방동 여의대방로10길 100
완속,신대방현대 아파트,서울특별시 동작구 신대방동 여의대방로 28
완속,동작상떼빌 아파트,서울특별시 동작구 신대방동 신대방1가길 38
완속,신림쌍용 아파트,서울특별시 관악구 신림동 미성길 122
완속,사당롯데캐슬샤인,서울특별시 동작구 사당동 사당로27길 190
완속,봉천건영6차아파트,서울특별시 관악구 봉천동 1701
완속,신동아 아파트,서울특별시 관악구 신림동 신림로 11길 151
급속,상도파크자이,서울특별시 동작구 상도동 장승배기로 11
급속,동작상떼빌 아파트,서울특별시 동작구 신대방동 신대방1가길 38
완속,관악동작지사,서울특별시 동작구 동작대로 19
완속,신림 주공2단지,서울특별시 관악구 신림동 광신길 86
완속,관악동부센트레빌 아파트,서울특별시 관악구 봉천동 은천로33길 5
완속,대우유로카운티,서울특별시 동작구 상도동 양녕로 287
급속,이수힐스테이트,서울특별시 동작구 동작동 동작대로39길 22
급속,서울시여성가족재단,서울특별시 동작구 대방동 345-1
급속,서울대입구아이원,서울특별시 관악구 봉천동 청룡길 78
완속,힐스테이트상도프레스티지,서울특별시 동작구 상도동 상도로 346-2
급속,신림쌍용 아파트,서울특별시 관악구 신림동 미성길 122
완속,신림동부센트레빌,서울특별시 관악구 신림동 미성3길 16
완속,래미안상도3차아파트,서울특별시 동작구 대방동 상도로 53길 8
완속,청광 아파트,서울특별시 관악구 신림로3가길 45-24
완속,보라매아카데미타워 아파트,서울특별시 동작구 신대방동 보라매로5가길 16
급속,래미안상도3차아파트,서울특별시 동작구 대방동 상도로 53길 8
급속,관악동부센트레빌 아파트,서울특별시 관악구 봉천동 은천로33길 5
급속,신대방현대 아파트,서울특별시 동작구 신대방동 여의대방로 28
급속,상도래미안1차 아파트,서울특별시 동작구 상도동 등용로 37
급속,보라매삼성 아파트,서울특별시 관악구 봉천동 보라매로 62
완속,상도래미안1차 아파트,서울특별시 동작구 상도동 등용로 37
급속,대방성원 아파트,서울특별시 동작구 대방동 여의대방로44길 9
급속,흑석한강센트레빌,서울특별시 동작구 흑석동 흑석한강로 2
급속,관악구 평생학습관,서울특별시 관악구 남부순환로 1546 
급속,사당롯데캐슬샤인,서울특별시 동작구 사당동 사당로27길 190
급속,빙수골 장미주차장,서울특별시 동작구 국사봉16길 28 
급속,관악구 종합체육센타,서울특별시 관악구 낙성대로3길 37 
급속,대방중간집하장 공영주차장,서울특별시 동작구 노량진로 47 
완속,리첸시아방배,서울특별시 서초구 방배동 755-14
완속,서초네이처힐7단지,서울특별시 서초구 우면동 735
완속,서초네이처힐6단지,서울특별시 서초구 우면동 737
급속,서초지사,서울특별시 서초구 효령로 72길 60
완속,서초포레스타5단지,서울특별시 서초구 신원동 374
완속,래미안서초스위트 아파트,서울특별시 서초구 서초동 1301-6
완속,반포리체 아파트,서울특별시 서초구 반포동 30-26
급속,예술의 전당,서울특별시 서초구 서초동 산 130-19
완속,방배롯데캐슬아르떼,서울특별시 서초구 방배2동 428-19
급속,서초포레스타5단지,서울특별시 서초구 신원동 374
완속,서초롯데캐슬프레지던트,서울특별시 서초구 서초동 1681-8
완속,현대멤피스(A),서울특별시 서초구 방배동 774-19
완속,서초경남아너스빌201동,서울특별시 서초구 서초동 1456-2
완속,현대멤피스(B),서울특별시 서초구 방배동 772-13
완속,LH서초5단지,서울특별시 서초구 우면동 368-1
완속,서초호반써밋아파트,서울특별시 서초구 우면동 753
완속,방배동부센트레빌 아파트,서울특별시 서초구 방배동 3275
급속,서초힐스 아파트,서울특별시 서초구 우면동 773
완속,아크로리버파크,서울특별시 서초구 반포동 2-12
완속,서초더샵포레,서울특별시 서초구 내곡동 77
급속,서울시립어린이병원,서울특별시 서초구 내곡동 6-7
완속,LH서초4단지 아파트,서울특별시 서초구 우면동 788
급속,서초더샵포레,서울특별시 서초구 내곡동 77
완속,서초힐스 아파트,서울특별시 서초구 우면동 773
급속,서초호반써밋아파트,서울특별시 서초구 우면동 753
완속,삼창골든빌리지 입주자대표회의,서울특별시 서초구 반포동 동광로32길 7
완속,서초동일하이빌,서울특별시 서초구 서초동 1542-1
급속,신세계 강남점,서울특별시 서초구 반포동 19-3
완속,방배3차e편한세상,서울특별시 서초구 방배동 797-30
완속,서초2차e편한세상아파트,서울특별시 서초구 서초동 1529
완속,서초네이처힐1단지,서울특별시 서초구 우면동 707
완속,방배1차 e편한세상,서울특별시 서초구 방배동 884-2
급속,남서울농협 하나로마트 우면점,서울특별시 서초구 우면동 763
완속,롯데캐슬헤론,서울특별시 서초구 방배동 754-1
급속,반포미도아파트,서울특별시 서초구 반포동 60-4
완속,서초롯데캐슬84,서울특별시 서초구 서초동 1642-14
급속,서초네이처힐6단지,서울특별시 서초구 우면동 737
완속,방배아이파크 아파트,서울특별시 서초구 방배동 3277
급속,LH서초5단지,서울특별시 서초구 우면동 368-1
완속,방배롯데캐슬포레스트,서울특별시 서초구 방배동 844-1
완속,서초지사,서울특별시 서초구 효령로 72길 60
급속,롯데캐슬헤론,서울특별시 서초구 방배동 754-1
급속,반포리체 아파트,서울특별시 서초구 반포동 30-26
급속,국립 중앙도서관,서울특별시 서초구 반포동 산 94-1
급속,래미안서초스위트 아파트,서울특별시 서초구 서초동 1301-6
완속,서초아크빌,서울특별시 서초구 반포대로22길 86
완속,래미안서초7차 아파트,서울특별시 서초구 서초동 1642-34
완속,양재리본타워2단지아파트,서울특별시 서초구 양재동 212
급속,태남빌딩 주차장,서울특별시 서초구 잠원로3길 40
급속,반포동방음언덕형 공영주차장,서울특별시 서초구 주흥5길 20
급속,잠원동방음언덕형 공영주차장,서울특별시 서초구 잠원동 10-33
